city,1995,1996,1997,1998,1999,2000,spi,spi_p
Marapoama,80000,80000,90000,90000,90000,90000,-1.13934587802723,-0.975977502443483
Mariápolis,0,0,70000,0,0,0,-1.79099082315561,-1.48418689803681
Marília,70000,60416,60416,0,0,0,-2.2006998342229,-0.352229330921378
Marinópolis,0,0,0,0,0,0,-1.8194669318019,-1.40760249728339
Martinópolis,70000,70000,70000,70000,70000,60000,-1.50378478271611,-0.914155740270595
Matão,70000,70806,70000,70000,80000,70000,-1.54681108111568,-0.403359655034317
Mauá,0,0,0,0,0,0,-2.02449096426638,-1.03428314818147
Mendonça,0,80000,100000,100000,85657,70000,-0.857656818286984,1.03861483744262
Meridiano,80000,80000,70000,80000,80000,80000,-0.766176654698361,-0.885861699421129
Mesópolis,0,0,0,0,0,0,-1.83052293812023,-1.97012864268839
Miguelópolis,100000,100000,100000,100000,100000,100000,-1.68983125637847,-2.31414883774052
Mineiros do Tietê,90000,90000,80000,80000,80000,90000,-1.08099408812412,-0.037764291093053
Mira Estrela,0,0,0,0,0,0,-0.527281995325859,-1.27161372005951
Miracatu,0,0,0,0,0,0,-2.04257973643988,-0.597900315912501
Mirandópolis,85000,85000,85000,85000,85000,85000,-1.65132899806583,-0.785951793107924
Mirante do Paranapanema,60369,60000,55035,60000,63000,0,-2.41315330982939,-1.20999743040775
Mirassol,80000,90000,90000,80000,80000,80000,-0.425438364767273,-0.051485007187557
Mirassolândia,0,0,0,0,0,0,-1.18873894559319,-1.80459123541663
Mococa,70000,70000,70000,57600,80000,80000,-1.17806007329419,-2.02455047029145
Mogi das Cruzes,0,0,0,0,0,0,-1.11617311346972,-0.121325171342916
Mogi Guaçu,80000,80000,80000,80000,80000,82000,-1.21747163484853,0.112067960944989
Mogi Mirim,80000,80000,80000,80000,80000,80000,-1.50406364939646,0.440103511796986
Mombuca,70000,70000,65000,65000,65000,65000,-1.54041999688619,-0.514583313189494
Monções,0,0,0,0,0,0,-1.05893882558011,-0.356273998711909
Mongaguá,0,0,0,0,0,0,-2.02701400759864,-0.34859744031686
Monte Alegre do Sul,0,0,0,80000,0,60000,-1.74047232628289,-0.153740746035651
Monte Alto,90000,80000,90000,90000,90000,75000,-1.69858347284603,-1.68159221504732
Monte Aprazível,70000,70000,70000,70000,70000,50000,-0.752421860176022,0.493571006648783
Monte Azul Paulista,82000,70000,80000,95000,90000,85000,-2.00586936979415,-1.8776184621283
Monte Castelo,0,0,0,0,0,0,-1.79559292304355,-1.08692397008504
Monte Mor,65000,65000,65000,65000,65000,0,-1.17487831183528,-0.005383253366192
Monteiro Lobato,30000,30000,30000,30000,0,0,-1.65499769861202,-1.21620812157864
Morro Agudo,85470,79775,80000,80000,80000,70000,-1.00936451100387,-1.10371927481483
Morungaba,0,0,0,0,0,0,-1.79217263332786,-0.760633291824575
Motuca,70000,70000,70000,80965,80000,72000,-1.98642978648866,-0.8037990301914
Murutinga do Sul,0,0,0,85000,85000,0,-2.14288416300443,-1.61400100560782
Nantes,0,0,70000,65000,70000,64000,-1.72980908712839,-0.198421276832737
Narandiba,80000,80000,80000,80000,0,0,-1.81725087330858,-0.399686720084783
Natividade da Serra,30000,0,30000,56000,56000,30000,-0.654961403148862,-0.918677314555098
Nazaré Paulista,35000,36000,38000,40000,50000,30000,-1.9790996510859,-0.756417988261444
Neves Paulista,70000,70000,70000,70000,70000,60000,-0.425438364767273,-0.051485007187557
Nhandeara,0,0,0,70000,70000,60000,-0.857916982268148,-0.816575661997176
Nipoã,70000,70000,70000,63636,70000,80000,-0.752421860176022,0.493571006648783
Nova Aliança,0,61250,80000,80000,80000,0,-0.857656818286984,1.03861483744262
Nova Campina,0,0,0,0,0,0,-1.17398122834593,-0.230060116015678
Nova Canaã Paulista,0,0,0,0,0,0,-1.8194669318019,-1.40760249728339
Nova Castilho,0,0,0,98223,99558,70000,-1.49434715403577,-0.348035651309888
Nova Europa,80000,80000,80000,80000,80020,80000,-0.747192018088906,0.105351740301957
Nova Granada,70000,70000,80000,70000,80000,70000,-1.02077030408,-1.8135109559385
Nova Guataporanga,0,0,0,0,0,0,-1.94215777737452,-0.632965341536925
Nova Independência,0,0,0,0,0,0,-1.79559292304355,-1.08692397008504
Nova Luzitânia,80000,80000,90024,90000,84847,100000,-1.05893882558011,-0.356273998711909
Nova Odessa,60000,60000,60000,60000,60000,60000,-1.17487831183528,-0.005383253366192
Novais,70000,83000,80000,73619,73846,80000,-1.30611725818446,-1.25379724909345
Novo Horizonte,80000,80000,80000,80000,80000,80000,-0.885359183528722,-0.131599113608527
Nuporanga,80000,80000,80000,80000,82088,80000,-0.864278328253953,-1.595250437345
Ocauçu,0,0,0,0,0,0,-2.45275571186181,0.155605489286975
Óleo,85000,85000,82000,82000,82000,80000,-1.87901628273635,-1.00524233038395
Olímpia,66583,85000,90000,70000,70000,70000,-1.78248781883994,-2.16595100613373
Onda verde,80000,90000,80000,90000,87370,70000,-1.18873894559319,-1.80459123541663
Oriente,50000,45000,45000,0,0,0,-2.14114159022601,-0.525320000937971
Orindiúva,80000,70000,90000,90000,89146,62000,-0.620479715366515,-1.66434497635229
Orlândia,91807,85663,75032,72066,75000,65000,-1.30488218160802,-1.64492190680134
Osasco,0,0,0,0,0,0,-2.59877696669957,-1.01354695689744
Oscar Bressane,0,0,0,0,0,0,-1.84793697412909,-0.946553327772029
Osvaldo Cruz,75000,75000,75000,71197,86760,100000,-2.20146129734603,-1.35294854297337
Ourinhos,90000,92222,90000,72727,72000,85000,-1.84137184304603,-0.74010747825025
Ouro Verde,0,0,0,0,0,0,-2.7029878920819,-0.711359854619741
Ouroeste,0,0,0,0,0,75000,-1.10876797899002,-1.62654266288882
Pacaembu,0,0,0,0,0,0,-1.88547047666239,-1.09860679965619
Palestina,120000,90000,70000,90000,99000,100000,-1.02077030408,-1.8135109559385
Palmares Paulista,75000,75000,100000,55000,95161,75000,-1.24870893711348,-0.972505889081635
Palmeira d'Oeste,50000,50000,0,0,0,0,-1.8194669318019,-1.40760249728339
Palmital,75000,75000,80000,100000,75000,60000,-2.09546137006066,-0.912148454073151
Panorama,0,0,0,0,0,0,-2.10699840729061,-0.810697997621883
Paraguaçu Paulista,75000,90000,96296,70000,66710,65000,-1.66683352150943,-0.219950675663789
Paraibuna,50000,50000,50000,50000,0,0,-1.61677556431429,-1.17070148304219
Paraíso,85000,80000,100000,71011,75865,70000,-1.24870893711348,-0.972505889081635
Paranapanema,75000,0,80000,80000,80000,69117,-2.7499205137379,-1.36664879945825
Paranapuã,0,0,0,0,0,0,-1.8963313909912,-1.79663047432403
Parapuã,80000,72727,20000,80000,80000,80000,-2.20146129734603,-1.35294854297337
Pardinho,0,0,0,0,0,0,-1.8103966039625,-0.5897177316444
Pariquera-Açu,0,60000,60000,60000,60000,0,-2.32470004688359,-0.027310102181515
Parisi,0,0,0,0,0,0,-0.766176654698361,-0.885861699421129
Patrocínio Paulista,100000,80000,100000,100000,100000,80000,-0.8096194736318,-2.09383637078325
Paulicéia,0,0,0,0,0,0,-2.10699840729061,-0.810697997621883
Paulínia,0,0,80000,79818,79818,0,-1.38879916689588,-0.090152974814532
Paulistânia,0,0,0,60000,70000,60000,-1.63011491976277,-1.32565146436456
Paulo de Faria,80000,80273,80000,90000,81980,83000,-0.620479715366515,-1.66434497635229
Pederneiras,71428,72000,70000,70000,70000,75000,-1.49529220491444,-0.11126872427943
Pedra Bela,0,0,0,0,0,0,-1.540004470018,-0.156133623356345
Pedranópolis,70000,80000,74626,80000,80184,65000,-0.745500571341449,-1.11630370733916
Pedregulho,60000,74000,100000,80000,80000,80000,-0.31754966900482,-1.98517717623161
Pedreira,60000,60000,60000,60000,60000,60000,-1.79217263332786,-0.760633291824575
Pedrinhas Paulista,70000,70000,90000,100000,100000,0,-2.09651702048629,-0.307898927624454
Pedro de Toledo,0,0,0,0,0,0,-2.42122660016301,-0.88601316959499
Penápolis,72500,69983,70000,70000,70000,70000,-1.4669883278728,0.052944479396929
Pereira Barreto,100000,88398,81619,97507,95763,100000,-1.33466932621229,-0.293490159630859
Pereiras,60000,0,60000,80000,70000,80000,-1.57383208810619,-1.17110072134201
Peruíbe,0,0,0,0,0,50000,-1.71917867269552,-0.218000028211454
Piacatu,80000,80000,80000,80000,80000,80000,-2.59094568699115,-1.64187748715239
Piedade,0,0,0,0,0,60000,-2.32943969854917,-1.02440203994753
Pilar do Sul,0,0,0,0,0,60000,-2.24521499239863,-0.691401687368445
Pindamonhangaba,80000,80000,80000,80000,80000,60000,-0.654999790878611,-1.08459128733419
Pindorama,70000,70000,70000,96385,56875,60000,-1.24870893711348,-0.972505889081635
Pinhalzinho,0,0,0,0,0,0,-1.540004470018,-0.156133623356345
Piquerobi,0,0,0,0,0,0,-2.44138721734244,-0.757191722738656
Piquete,0,0,0,0,0,0,-0.295728291808956,-0.954166501666562
Piracaia,50000,50000,50000,50000,50000,0,-1.9790996510859,-0.756417988261444
Piracicaba,72916,81818,75000,75000,75000,75000,-1.43247229548944,0.034686639103997
Piraju,70000,70000,70000,70000,70909,0,-2.67484385523816,-1.34264503097564
Pirajuí,70000,70000,60897,70000,70000,70000,-1.31827876733888,-0.349684702203825
Pirangi,93333,62857,80000,80000,80000,80000,-1.33164258601861,-0.962336069244069
Pirapora do Bom Jesus,0,0,0,0,0,0,-2.26480238221252,-1.39351154358547
Pirapozinho,80000,80000,80000,80000,80066,80000,-2.07430939186327,-0.557989147603004
Pirassununga,82608,80000,80000,80000,80000,85000,-0.254753341768022,0.071836173237021
Piratininga,100000,100000,100000,80000,80000,0,-1.73366527891683,-0.648335952490501
Pitangueiras,78947,65000,90000,80000,60000,75748,-0.077742835500397,-0.107110530625653
Planalto,80000,80000,80000,80000,80000,80000,-0.752421860176022,0.493571006648783
Platina,83000,83000,83000,83000,83109,70000,-2.18627771388025,-1.0588418474273
Poá,0,0,0,0,0,0,-2.02449096426638,-1.03428314818147
Poloni,70000,70000,70000,70970,70000,70000,-0.791222131729173,-0.927468038983013
Pompéia,60000,60000,73333,0,0,0,-1.96293221337721,-0.569010204378482
Pongaí,0,0,0,0,0,80000,-1.11283220290378,-0.337589237283244
Pontal,80434,80000,80000,80000,80000,70000,-0.077742835500397,-0.107110530625653
Pontalinda,90000,90000,90000,81038,80000,90000,-1.91440491399714,-1.57312507980723
Pontes Gestal,0,80000,80000,70000,0,0,-0.978153910541376,-1.6702247590951
Populina,0,0,0,0,0,0,-1.83052293812023,-1.97012864268839
Porangaba,90000,90000,80000,90000,95000,0,-1.60162011083257,-0.625454455970988
Porto Feliz,72692,70000,70000,70000,70000,70000,-1.7649924527322,-1.45610819113014
Porto Ferreira,60000,60000,60000,60000,60000,60000,-0.254753341768022,0.071836173237021
Potim,0,0,0,0,0,0,-0.099874231300713,-0.842687742970485
Potirendaba,100000,100000,100000,100000,80000,100000,-0.748098664104207,-0.234616099935933
Pracinha,0,0,75000,88098,110000,60000,-1.79099082315561,-1.48418689803681
Pradópolis,80000,62933,104888,70000,70000,70000,-1.16982430786275,-0.075192575377977
Praia Grande,0,0,0,0,0,0,-2.02701400759864,-0.34859744031686
Pratânia,0,0,80000,80000,80000,77996,-2.32193032019771,-1.37049286634488
Presidente Alves,60000,60000,60000,70000,70000,78000,-1.14606569125226,-0.447104702446158
Presidente Bernardes,70000,72766,70000,70000,85000,80000,-2.03983804798206,-0.84047165040796
Presidente Epitácio,0,0,0,0,0,0,-2.65126140219431,-1.14465112686244
Presidente Prudente,0,0,99000,80000,80000,70000,-1.1982108262132,-0.651258694884491
Presidente Venceslau,73529,60000,63055,60699,50000,0,-2.58774487919624,-0.787078195992426
Promissão,73000,80882,80000,80000,80000,70000,-1.03381020596609,-0.266498330839607
Quadra,0,0,80000,97794,95000,80000,-2.28953992392433,0.078360799318365
Quatá,70080,65000,70000,70000,60454,50000,-2.12374009887544,-0.605919240887207
Queiroz,0,0,0,0,0,0,-1.96293221337721,-0.569010204378482
Queluz,0,0,0,0,0,0,-0.707387177888841,-0.386629495376957
Quintana,0,0,0,80000,0,0,-2.15926485643337,-0.63669565096216
Rafard,68000,68028,68000,68000,68000,68000,-1.7649924527322,-1.45610819113014
Rancharia,65000,60000,65000,65000,60000,60000,-1.54789965260594,-0.6984418574502
Redenção da Serra,35000,0,35000,35000,35000,0,-2.05355991351672,-0.830196858135086
Regente Feijó,65000,65789,65000,70000,65000,65000,-1.1982108262132,-0.651258694884491
Reginópolis,70000,70000,70000,70000,70000,70000,-1.28980652069154,-0.157295728508012
Registro,0,0,0,0,0,0,-2.32470004688359,-0.027310102181515
Restinga,100000,100000,100000,100000,100000,80000,-0.8096194736318,-2.09383637078325
Ribeira,50000,50000,0,80000,80000,0,-2.22302831853476,-1.38946713848032
Ribeirão Bonito,70000,70000,70000,70000,70000,60000,-1.40775030302763,0.057362562168201
Ribeirão Branco,0,0,0,0,0,0,-0.974168411830274,-0.075710893659053
Ribeirão Corrente,0,0,0,80000,80000,110000,-0.594471238834827,-1.66668654111204
Ribeirão do Sul,80000,80000,120000,68000,47169,80000,-1.67451528809749,-0.389216851523499
Ribeirão dos Índios,0,0,0,0,0,70000,-2.07400730880002,-1.04701691765438
Ribeirão Grande,0,0,0,0,0,0,-2.22554027718986,-0.641579184831523
Ribeirão Pires,0,0,0,0,0,0,-2.02449096426638,-1.03428314818147
Ribeirão Preto,67567,70000,76419,70000,70000,70000,-0.645160831963743,-0.876765782132566
Rifaina,100000,100000,68965,0,0,0,-0.31754966900482,-1.98517717623161
Rincão,86666,70588,70000,70000,80000,50000,-1.61523821970232,-0.848591967803985
Rinópolis,80000,80000,80000,80000,80000,90000,-2.59094568699115,-1.64187748715239
Rio Claro,79450,61818,72500,86400,82142,85000,-1.45399504172642,-0.042917892170583
Rio das Pedras,74666,80000,80000,85989,80000,60000,-1.54041999688619,-0.514583313189494
Rio Grande da Serra,0,0,0,0,0,0,-2.02449096426638,-1.03428314818147
Riolândia,0,120000,82000,90000,78888,90000,-0.978153910541376,-1.6702247590951
Riversul,0,0,0,0,0,0,-1.72910082719986,-1.07785213207679
Rosana,0,0,90045,75000,46000,0,-2.46197798809189,-1.11877439619133
Roseira,0,0,0,0,0,0,-0.099874231300713,-0.842687742970485
Rubiácea,85000,85000,85000,85000,85000,80000,-1.62271443791995,-0.66220918331395
Rubinéia,0,0,0,0,0,0,-2.00893136727797,-1.74102716462433
Sabino,78000,79000,0,85000,60000,60000,-1.20018094783474,0.445423426658533
Sagres,65000,70000,70000,75899,84000,75000,-2.20146129734603,-1.35294854297337
Sales,75000,75000,75000,75000,75000,75000,-1.20018094783474,0.445423426658533
Sales Oliveira,84434,84776,85000,85000,85000,80000,-0.758986563713496,-1.15130925351589
Salesópolis,0,0,0,0,0,0,-0.836230323567288,-0.619694805833713
Salmourão,65000,70000,70000,85000,95000,80000,-2.31733745136614,-1.65260569576073
Saltinho,75000,75000,75000,70000,70000,70000,-1.54041999688619,-0.514583313189494
Salto,50000,50000,50000,50000,50000,60000,-2.11201192443964,-1.03214888958541
Salto de Pirapora,60000,0,0,60000,60000,60000,-1.82631818717049,-0.619184839245646
Salto Grande,100000,80000,100000,69444,48611,70000,-1.84137184304603,-0.74010747825025
Sandovalina,0,0,0,0,0,0,-2.33136791041796,-0.716291575121224
Santa Adélia,75000,67500,75000,58928,104444,75000,-1.47450659711365,-1.12880625912401
Santa Albertina,70000,70000,0,0,0,0,-1.8963313909912,-1.79663047432403
Santa Bárbara d'oeste,75000,75000,75000,75000,75000,75000,-1.17487831183528,-0.005383253366192
Santa Branca,50000,100000,0,0,0,0,-1.80028231037226,-0.875633989594504
Santa Clara d'Oeste,0,0,0,0,0,0,-2.00893136727797,-1.74102716462433
Santa Cruz da Conceição,75000,80232,75000,83804,75000,70000,-0.722264738524773,0.625606606717983
Santa Cruz da Esperança,0,0,70000,70000,70000,70000,-1.44586063056232,-1.10650167202701
Santa Cruz das Palmeiras,80000,85000,85000,75000,85000,85000,-0.254753341768022,0.071836173237021
Santa Cruz do Rio Pardo,75555,70000,80000,67692,57670,90000,-1.90191588645316,-0.925887099366441
Santa Ernestina,80000,66666,80000,80000,80000,80000,-0.955590188454995,0.404012717024685
Santa Fé do Sul,60000,60000,60000,0,0,0,-2.00893136727797,-1.74102716462433
Santa Gertrudes,87949,71929,75499,93650,71229,72000,-1.35419073545379,0.045689243614103
Santa Isabel,0,0,0,0,0,0,-1.49371148955648,-0.532183482430295
Santa Lúcia,70000,61666,70000,70000,80000,70000,-1.98642978648866,-0.8037990301914
Santa Maria da Serra,80000,80000,80000,80000,80000,80000,-1.93442143370082,-0.194504630189529
Santa Mercedes,70000,80000,68000,0,0,0,-1.94215777737452,-0.632965341536925
Santa Rita d'Oeste,0,0,0,0,0,0,-2.00893136727797,-1.74102716462433
Santa Rita do Passa Quatro,75000,75031,75282,75000,75094,75000,-0.844304411798725,-1.12343872151919
Santa Rosa de Viterbo,72000,72138,72000,72000,72000,70000,-1.44586063056232,-1.10650167202701
Santa Salete,0,0,0,0,0,0,-1.8963313909912,-1.79663047432403
Santana da Ponte Pensa,0,0,0,0,0,0,-1.8194669318019,-1.40760249728339
Santana de Parnaíba,0,0,0,0,0,0,-2.26480238221252,-1.39351154358547
Santo Anastácio,60000,60000,60000,70000,70000,60000,-2.27780283289099,-0.998090351074895
Santo André,0,0,0,0,0,0,-2.32894670874289,-1.31110659789805
Santo Antônio da Alegria,80000,80000,80000,80000,80000,80000,-1.18051631852291,-1.39817038031035
Santo Antônio de Posse,73000,80000,73000,73000,73000,82000,-1.51132934106837,0.322335598819809
Santo Antônio do Aracanguá,70003,70000,70000,70000,75000,90000,-1.57399113024925,-0.134411331867261
Santo Antônio do Jardim,90000,90000,80000,90000,85000,80000,-0.883347406424058,-0.418718757467037
Santo Antônio do Pinhal,0,0,0,0,0,0,-1.21012535045651,-1.3264948316979
Santo Expedito,0,0,0,0,70000,70000,-1.44104054885575,-0.87101229918844
Santópolis do Aguapeí,80000,80000,70000,90000,90000,90000,-2.59094568699115,-1.64187748715239
Santos,0,0,0,0,0,0,-1.11617311346972,-0.121325171342916
São Bento do Sapucaí,0,0,0,0,0,0,-1.21012535045651,-1.3264948316979
São Bernardo do Campo,0,0,0,0,0,0,-2.02701400759864,-0.34859744031686
São Carlos,75000,83333,80000,80000,64105,75000,-1.55351882836723,-0.228620563704033
São Francisco,0,0,0,0,0,0,-1.91440491399714,-1.57312507980723
São João da Boa Vista,90000,90000,82000,85000,90000,100000,-0.994659121193516,-0.617298564473431
São João das Duas Pontes,0,0,0,0,0,0,-1.2342663658096,-0.866139023809205
São João de Iracema,88000,85000,115264,98209,98199,70000,-1.51279112386115,-0.650360017061034
São João do Pau d'Alho,0,0,0,0,0,0,-1.79559292304355,-1.08692397008504
São Joaquim da Barra,85915,79787,80000,80000,80000,90000,-1.30488218160802,-1.64492190680134
São José da Bela Vista,100000,100000,100000,100000,100000,100000,-0.864278328253953,-1.595250437345
São José do Barreiro,40000,0,40000,0,40000,50000,-1.14267675210342,-0.272413363045388
São José do Rio Pardo,70000,70000,80000,80000,80147,70000,-1.17200268211879,-1.06462497073209
São José do Rio Preto,125000,120000,100000,65454,84000,80000,-1.35960288112793,-1.0749331761285
São José dos Campos,33000,33000,33000,33000,30000,0,-1.9168543496918,-1.13263935039262
São Lourenço da Serra,0,0,0,0,0,0,-2.09156451956087,-0.257991968261765
São Luiz do Paraitinga,35000,0,35000,40000,40000,0,-1.38388012840044,-0.813892513878221
São Manuel,83519,80000,85000,85000,80000,90000,-2.55450468474729,-1.07968826033178
São Miguel Arcanjo,0,0,0,0,0,0,-2.84516630150705,-0.92850911555623
São Paulo,0,0,0,0,0,0,-2.17798035817076,-0.829852019107455
São Pedro,60000,60000,60000,60000,60000,60000,-1.86380647084963,-0.007843172669783
São Pedro do Turvo,60000,60000,66666,71428,47142,75000,-1.67451528809749,-0.389216851523499
São Roque,0,0,0,0,0,0,-2.32648999935338,-0.877155465963278
São Sebastião,0,0,0,0,0,10000,-1.19633189135029,-0.872256595133469
São Sebastião da Grama,0,0,0,0,0,0,-1.17200268211879,-1.06462497073209
São Simão,80000,80000,71428,75000,91071,62941,-1.53059347605052,-1.80019678960883
São Vicente,0,0,0,0,0,0,-2.02701400759864,-0.34859744031686
Sarapuí,0,0,0,0,0,0,-3.21970624434815,-1.50164995464905
Sarutaiá,60000,60000,70000,70000,70000,0,-2.8349041463335,-1.7832123988306
Sebastianópolis do Sul,60000,60000,70000,70000,70000,60000,-0.791222131729173,-0.927468038983013
Serra Azul,70000,70000,70000,70000,70000,56000,-1.53059347605052,-1.80019678960883
Serra Negra,80000,100000,100000,80000,80000,60000,-1.74047232628289,-0.153740746035651
Serrana,75000,75000,96661,80000,80000,80000,-1.40716348760667,-1.71487959650593
Sertãozinho,88135,68800,93023,80000,80000,82000,-0.077742835500397,-0.107110530625653
Sete Barras,0,0,0,0,0,0,-2.44341602407056,-0.410316830288614
Severínia,71000,75000,80000,80000,80000,70000,-1.30611725818446,-1.25379724909345
Silveiras,0,0,0,0,0,0,-1.00555545457313,-0.760533377988488
Socorro,60000,60000,60000,65000,65333,80000,-1.74047232628289,-0.153740746035651
Sorocaba,25000,0,0,25000,25000,80000,-1.85642254074661,-0.842076763491284
Sud Mennucci,70000,86281,92066,95099,81981,75000,-1.86694013338514,-0.752033356883782
Sumaré,60000,60000,60000,60000,60000,60000,-1.17487831183528,-0.005383253366192
Suzanápolis,0,0,126242,112244,115287,99889,-1.91772199343381,-1.36468962858288
Suzano,0,0,0,0,0,60000,-2.02449096426638,-1.03428314818147
Tabapuã,70000,70000,70000,53030,53030,70000,-1.42397867134988,-1.59313400056059
Tabatinga,85000,85000,85000,85000,85000,85000,-1.31725878716511,-0.761287693804204
Taboão da Serra,0,0,0,0,0,0,-2.59877696669957,-1.01354695689744
Taciba,60000,60000,60000,60000,60000,60000,-1.71405728098918,-0.162683730217216
Taguaí,60000,60000,65000,65000,65000,0,-2.8349041463335,-1.7832123988306
Taiaçu,77000,80000,95000,90000,80000,95000,-1.33164258601861,-0.962336069244069
Taiúva,80000,85000,85000,85000,80000,70000,-1.39685838281723,-0.225593958118957
Tambaú,80000,80000,80000,80000,80000,80000,-0.603245531764458,-0.52906722029844
Tanabi,70000,70000,70000,70000,70000,75000,-1.21952919722433,-1.73580466098528
Tapiraí,0,0,0,0,0,0,-1.77050662602307,-0.512414182307106
Tapiratiba,80000,80000,80000,80000,80000,80000,-1.17200268211879,-1.06462497073209
Taquaral,0,0,95000,95000,95000,90000,-1.39685838281723,-0.225593958118957
Taquaritinga,83870,93333,85000,85000,85000,80000,-0.955590188454995,0.404012717024685
Taquarituba,70000,45000,55000,60000,60000,60000,-2.7780412834011,-1.81754520102897
Taquarivaí,0,0,0,0,0,0,-2.19256823863445,-1.13299481429747
Tarabai,0,0,0,0,0,0,-1.87567468938473,-0.454751028818773
Tarumã,72222,86975,85000,90000,93000,93000,-2.09651702048629,-0.307898927624454
Tatuí,76000,95000,90000,95000,95000,80000,-2.56366613194084,-0.560558593315224
Taubaté,35000,0,35000,0,0,0,-1.39551277411042,-0.367598338411059
Tejupá,61428,61428,73000,73000,73000,0,-2.8349041463335,-1.7832123988306
Teodoro Sampaio,70000,55022,53000,60000,48000,70000,-2.34694049035629,-1.01410199805229
Terra Roxa,68255,82500,82500,90000,80000,80000,-1.91466612492329,-2.12150164343356
Tietê,69565,80000,90000,100000,33333,99337,-1.7649924527322,-1.45610819113014
Timburi,80000,80000,80000,80000,80000,0,-2.17738071615979,-1.0409633057291
Torre de Pedra,0,0,0,0,0,0,-2.28953992392433,0.078360799318365
Torrinha,75000,80000,80000,80000,70000,69926,-1.38499819585005,-0.126581991587353
Trabiju,0,0,0,51095,80000,70000,-0.854393622031254,0.252010758932304
Tremembé,0,0,0,0,0,0,-1.21012535045651,-1.3264948316979
Três Fronteiras,0,0,0,60000,60000,0,-1.8194669318019,-1.40760249728339
Tuiuti,0,0,0,0,0,0,-1.540004470018,-0.156133623356345
Tupã,70000,80000,70000,0,0,0,-2.38597002026911,-1.45137961170925
Tupi Paulista,0,0,0,0,0,0,-1.94215777737452,-0.632965341536925
Turiúba,0,0,0,80000,0,0,-1.05893882558011,-0.356273998711909
Turmalina,80000,80000,70000,81000,70000,70000,-1.11582784045047,-1.06717593712505
Ubarana,92000,66666,80000,80000,80000,80000,-0.857656818286984,1.03861483744262
Ubatuba,0,0,0,0,0,0,-1.38388012840044,-0.813892513878221
Ubirajara,0,0,0,0,0,0,-1.62379835168947,-0.69415331182267
Uchoa,80000,80000,80000,80000,80000,78555,-1.42397867134988,-1.59313400056059
União Paulista,70000,80000,70000,70000,70000,100000,-0.752421860176022,0.493571006648783
Urânia,60000,60000,0,0,0,0,-1.8963313909912,-1.79663047432403
Uru,0,0,0,0,0,0,-1.31827876733888,-0.349684702203825
Urupês,80000,79966,80000,80000,80000,80000,-0.748098664104207,-0.234616099935933
Valentim Gentil,100000,60000,72000,70000,70000,70000,-0.766176654698361,-0.885861699421129
Valinhos,0,0,0,0,0,0,-1.79217263332786,-0.760633291824575
Valparaíso,85000,85000,85000,85000,85000,85119,-1.63517637470931,-0.613106463547869
Vargem,50000,50000,50000,48000,48000,0,-1.540004470018,-0.156133623356345
Vargem Grande do Sul,90000,90000,85000,90000,90000,91000,-0.994659121193516,-0.617298564473431
Vargem Grande Paulista,0,0,0,0,0,0,-2.32648999935338,-0.877155465963278
Várzea Paulista,0,0,0,0,0,0,-2.2135781203654,-1.50051268459204
Vera Cruz,0,0,0,0,0,0,-2.2006998342229,-0.352229330921378
Vinhedo,0,0,0,0,0,0,-2.2135781203654,-1.50051268459204
Viradouro,90000,73404,73404,90000,80000,90000,-1.91466612492329,-2.12150164343356
Vista Alegre do Alto,100000,80000,100000,100000,100000,100000,-1.33164258601861,-0.962336069244069
Vitória Brasil,0,0,0,81000,80000,0,-1.11582784045047,-1.06717593712505
Votorantim,0,0,0,0,0,0,-1.91419855862176,-0.762396079536408
Votuporanga,70000,70000,70000,70000,0,0,-1.27654141619093,-1.38135306179184
Zacarias,0,0,0,100000,0,0,-1.32149135756568,-0.301208974549857
